Dose,Well_96,Row,Column,Site
1000,49,E,1,1
1000,49,E,1,2
1000,49,E,1,3
1000,49,E,1,4
333,50,E,2,1
333,50,E,2,2
333,50,E,2,3
333,50,E,2,4
111,51,E,3,1
111,51,E,3,2
111,51,E,3,3
111,51,E,3,4
37,52,E,4,1
37,52,E,4,2
37,52,E,4,3
37,52,E,4,4
12,53,E,5,1
12,53,E,5,2
12,53,E,5,3
12,53,E,5,4
4.1,54,E,6,1
4.1,54,E,6,2
4.1,54,E,6,3
4.1,54,E,6,4
1.4,55,E,7,1
1.4,55,E,7,2
1.4,55,E,7,3
1.4,55,E,7,4
0.457,56,E,8,1
0.457,56,E,8,2
0.457,56,E,8,3
0.457,56,E,8,4
0.152,57,E,9,1
0.152,57,E,9,2
0.152,57,E,9,3
0.152,57,E,9,4
0.051,58,E,10,1
0.051,58,E,10,2
0.051,58,E,10,3
0.051,58,E,10,4
0.017,59,E,11,1
0.017,59,E,11,2
0.017,59,E,11,3
0.017,59,E,11,4
0.0056,60,E,12,1
0.0056,60,E,12,2
0.0056,60,E,12,3
0.0056,60,E,12,4
1000,61,F,1,1
1000,61,F,1,2
1000,61,F,1,3
1000,61,F,1,4
333,62,F,2,1
333,62,F,2,2
333,62,F,2,3
333,62,F,2,4
111,63,F,3,1
111,63,F,3,2
111,63,F,3,3
111,63,F,3,4
37,64,F,4,1
37,64,F,4,2
37,64,F,4,3
37,64,F,4,4
12,65,F,5,1
12,65,F,5,2
12,65,F,5,3
12,65,F,5,4
4.1,66,F,6,1
4.1,66,F,6,2
4.1,66,F,6,3
4.1,66,F,6,4
1.4,67,F,7,1
1.4,67,F,7,2
1.4,67,F,7,3
1.4,67,F,7,4
0.457,68,F,8,1
0.457,68,F,8,2
0.457,68,F,8,3
0.457,68,F,8,4
0.152,69,F,9,1
0.152,69,F,9,2
0.152,69,F,9,3
0.152,69,F,9,4
0.051,70,F,10,1
0.051,70,F,10,2
0.051,70,F,10,3
0.051,70,F,10,4
0.017,71,F,11,1
0.017,71,F,11,2
0.017,71,F,11,3
0.017,71,F,11,4
0.0056,72,F,12,1
0.0056,72,F,12,2
0.0056,72,F,12,3
0.0056,72,F,12,4
1000,73,G,1,1
1000,73,G,1,2
1000,73,G,1,3
1000,73,G,1,4
333,74,G,2,1
333,74,G,2,2
333,74,G,2,3
333,74,G,2,4
111,75,G,3,1
111,75,G,3,2
111,75,G,3,3
111,75,G,3,4
37,76,G,4,1
37,76,G,4,2
37,76,G,4,3
37,76,G,4,4
12,77,G,5,1
12,77,G,5,2
12,77,G,5,3
12,77,G,5,4
4.1,78,G,6,1
4.1,78,G,6,2
4.1,78,G,6,3
4.1,78,G,6,4
1.4,79,G,7,1
1.4,79,G,7,2
1.4,79,G,7,3
1.4,79,G,7,4
0.457,80,G,8,1
0.457,80,G,8,2
0.457,80,G,8,3
0.457,80,G,8,4
0.152,81,G,9,1
0.152,81,G,9,2
0.152,81,G,9,3
0.152,81,G,9,4
0.051,82,G,10,1
0.051,82,G,10,2
0.051,82,G,10,3
0.051,82,G,10,4
0.017,83,G,11,1
0.017,83,G,11,2
0.017,83,G,11,3
0.017,83,G,11,4
0.0056,84,G,12,1
0.0056,84,G,12,2
0.0056,84,G,12,3
0.0056,84,G,12,4
